Año,Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios,Comentarios_Limpios
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,1,Neutral,Muy Malo,Muy Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Personal Administrativo,1,Muy Bueno,Muy Bueno,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,8,Malo,Bueno,Muy Malo,Atienden muy lento,Atender muy lento.
2023,Otro,9,Neutral,Muy Bueno,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Docente,3,Bueno,Muy Bueno,Bueno,Equipos viejos,Equipo viejo.
2023,Otro,1,Muy Bueno,Malo,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2023,Otro,1,Muy Bueno,Bueno,Neutral,Nada,Nada.
2023,Otro,4,Malo,Malo,Bueno,Nada,Nada.
2024,Otro,8,Malo,Muy Malo,Neutral,No funcionan las computadoras,No funcionar las computadoras.
2024,Alumno,8,Muy Bueno,Muy Bueno,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Docente,0,Muy Malo,Muy Bueno,Malo,Computadoras lentas,Computadoras lenta.
2023,Docente,1,Muy Bueno,Muy Malo,Muy Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Otro,6,Muy Malo,Muy Bueno,Bueno,Atienden muy lento,Atender muy lento.
2024,Otro,7,Muy Malo,Malo,Bueno,Nada,Nada.
2023,Docente,4,Neutral,Neutral,Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Otro,8,Bueno,Neutral,Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,5,Neutral,Muy Bueno,Malo,Muy pocas computadoras,Muy poca computadoras.
2023,Otro,2,Bueno,Neutral,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Otro,1,Bueno,Muy Bueno,Malo,No funcionan las computadoras,No funcionar las computadoras.
2024,Docente,9,Malo,Malo,Neutral,Nada,Nada.
2024,Alumno,4,Neutral,Muy Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Personal Administrativo,0,Malo,Muy Malo,Muy Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Alumno,5,Malo,Muy Malo,Malo,Muy Bien,Muy Bien.
2024,Personal Administrativo,8,Muy Malo,Muy Malo,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,7,Malo,Muy Bueno,Muy Bueno,Nada,Nada.
2023,Docente,7,Malo,Bueno,Malo,Excelente,Excelente.
2023,Personal Administrativo,9,Muy Bueno,Bueno,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Personal Administrativo,5,Bueno,Malo,Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Otro,0,Malo,Muy Bueno,Muy Bueno,BaÃ±os sucios,Baño sucio.
2023,Personal Administrativo,5,Bueno,Bueno,Muy Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,8,Bueno,Malo,Malo,Atienden muy lento,Atender muy lento.
2024,Docente,7,Muy Bueno,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Docente,8,Neutral,Malo,Muy Malo,Computadoras lentas,Computadoras lenta.
2024,Docente,9,Malo,Neutral,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2023,Personal Administrativo,9,Muy Bueno,Muy Bueno,Neutral,Computadoras lentas,Computadoras lenta.
2024,Docente,3,Malo,Neutral,Bueno,Bien,Bien.
2023,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Nada,Nada.
2023,Personal Administrativo,9,Malo,Malo,Neutral,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Otro,6,Bueno,Muy Bueno,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2023,Docente,6,Muy Malo,Neutral,Muy Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,8,Malo,Bueno,Muy Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Otro,3,Muy Malo,Muy Malo,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Docente,3,Bueno,Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,6,Muy Malo,Muy Malo,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Alumno,4,Bueno,Muy Bueno,Muy Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Docente,0,Muy Bueno,Neutral,Malo,Equipos viejos,Equipo viejo.
2023,Personal Administrativo,1,Bueno,Muy Malo,Muy Bueno,Muy Bien,Muy Bien.
2024,Personal Administrativo,9,Muy Malo,Malo,Neutral,BaÃ±os sucios,Baño sucio.
2023,Alumno,4,Malo,Muy Malo,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Alumno,6,Malo,Muy Malo,Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Personal Administrativo,6,Malo,Bueno,Neutral,Me caen muy bien,Me caer muy bien.
2023,Personal Administrativo,5,Malo,Neutral,Malo,No funcionan los proyectores,No funcionar los proyectores.
2024,Alumno,1,Neutral,Muy Malo,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2023,Alumno,5,Muy Bueno,Malo,Muy Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
